Id,HitboxActive,FirstActionableFrame,BaseDamage,Angle,BaseKnockBackSetKnockback,LandingLag,AutoCancel,KnockbackGrowth,Type,Name,OwnerId,LastModified
1,"9-12","26","1.5","55/55/85","45/30/42","","","25",1,"Jab 1",1,10/02/2016 21:53:56
2,"9-11","31","1.5","48/68/82/70","45/40/38/40","","","25",1,"Jab 2",1,10/02/2016 21:53:56
3,"11-12","34","2.7","68/85/68/90","47/47/28/28","","","20",1,"Jab 3",1,10/02/2016 21:53:56
4,"-","-","0.3","8/172","W: 7","","","100",1,"Rapid Jab",1,10/02/2016 21:53:56
5,"-","-","1","90","W: 35/15","","","100",1,"Rapid Jab Finisher (Hit 1)",1,10/02/2016 21:53:56
6,"-","-","6","55","70","","","90",1,"Rapid Jab Finisher (Hit 2)",1,10/02/2016 21:53:56
7,"15-20","47","10 (+1)","50","85","","","55",1,"Dash Attack",1,10/02/2016 21:53:56
8,"21-26","-","8 (+1)","50","85","","","55",1,"Dash Attack (Late)",1,10/02/2016 21:53:56
9,"12","32","3.5","60/40/75/80/45","62/50/45/60/56","","","25/15/25/15/25",1,"Ftilt 1",1,10/02/2016 21:53:56
10,"12","40","3","43/75","60/58","","","25",1,"Ftilt 2",1,10/02/2016 21:53:56
11,"14-15","43","8.5","81","70","","","60",1,"Ftilt 3",1,10/02/2016 21:53:56
12,"7-8","27","5","110/68","80","","","40",1,"Utilt (Hit 1)",1,10/02/2016 21:53:56
13,"9-10","-","2","128","65","","","27",1,"Utilt (Hit 1, Late)",1,10/02/2016 21:53:56
14,"11-12","-","6","93","60","","","60",1,"Utilt (Hit 2)",1,10/02/2016 21:53:56
15,"7-9","27","6/7","85/78","70","","","50",1,"Dtilt",1,10/02/2016 21:53:56
16,"19-21 (Low Priority)","68","16/14","361","26","","","102",1,"Fsmash",1,10/02/2016 21:53:56
17,"18-19 (Low Priority)","65","17","86","32","","","90",1,"Usmash (Early)",1,10/02/2016 21:53:56
18,"20-21 (Low Priority)","-","16","86","32","","","90",1,"Usmash",1,10/02/2016 21:53:56
19,"22-23 (Low Priority)","-","15","86","32","","","90",1,"Usmash (Late)",1,10/02/2016 21:53:56
20,"20-21","69","5","0","W: 20","","","100",1,"Dsmash (Hit 1)",1,10/02/2016 21:53:56
21,"25 (Low Priority)","-","16","72/270","10","","","90/80",1,"Dsmash (Hit 2)",1,10/02/2016 21:53:56
22,"26-27 (Low Priority)","-","15","72/270","10","","","90",1,"Dsmash (Hit 2, Late)",1,10/02/2016 21:53:56
24,"7-8","31","","","","","","",1,"Standing Grab",1,10/02/2016 21:53:56
25,"9-10","38","","","","","","",1,"Dash Grab",1,10/02/2016 21:53:56
26,"10-11","38","","","","","","",1,"Pivot Grab",1,10/02/2016 21:53:56
28,"-","-","7, 3","49","60","","","150",3,"Fthrow",1,10/02/2016 21:53:56
29,"-","-","3, 6","45","80","","","60",3,"Bthrow",1,10/02/2016 21:53:56
30,"-","-","3, 4.5","84","60","","","88",3,"Uthrow",1,10/02/2016 21:53:56
31,"-","-","3, 5","78","26","","","136",3,"Dthrow",1,10/02/2016 21:53:56
37,"9-17","33","8","361","40","10","34&gt;","100",0,"Nair",1,10/02/2016 21:53:56
38,"18-25","-","6","361","40","-","-","90",0,"Nair (Late)",1,10/02/2016 21:53:56
39,"26-","","4.5","361","50","","","100",0,"Nair (Bullet Artes Extension)",1,10/02/2016 21:53:56
40,"7-9","27","3","50/26/70","80/70/65","14","28&gt;","10",0,"Fair 1",1,10/02/2016 21:53:56
41,"7-9","32","2.2","50/28/70","68/64/63","14","32&gt;","10",0,"Fair 2",1,10/02/2016 21:53:56
42,"12-15","40","6","44","60","14","35&gt;","68",0,"Fair 3",1,10/02/2016 21:53:56
43,"11-14","30","13/10","361","12","12","29&gt;","106",0,"Bair",1,10/02/2016 21:53:56
44,"9-18","30","9","75","40","12","1-2, 26&gt;","90",0,"Uair",1,10/02/2016 21:53:56
45,"21-","","4","48","75","","","80",0,"Uair (Bullet Artes Extension)",1,10/02/2016 21:53:56
46,"18-24","48","7/8/9","70/270/270","30/80/80","28","1-2, 50&gt;","120/50/50",0,"Dair",1,10/02/2016 21:53:56
47,"25-35","-","8/9","270","80","-","-","50",0,"Dair (Late)",1,10/02/2016 21:53:56
48,"1-2","-","5","45","80","-","-","135",0,"Dair (Landing)",1,10/02/2016 21:53:56
49,"17-24, 22-29, 32-39, 37-44","71","1.35","0","0","","","45",2,"Bullet Climax",1,10/02/2016 21:53:56
50,"-","-","2.7","50","20","","","150",2,"Bullet Climax (Charged)",1,10/02/2016 21:53:56
51,"15-19","72","9","47","92","","","18",2,"No Kick Heel Slide (Hit 1, Early)",1,10/02/2016 21:53:56
52,"20-24","-","8.5","55","85","","","18",2,"No Kick Heel Slide (Hit 1)",1,10/02/2016 21:53:56
53,"25-39","-","8","76","80","","","18",2,"No Kick Heel Slide (Hit 1, Late)",1,10/02/2016 21:53:56
54,"15-19","78","9","47","92","","","18",2,"Heel Slide (Hit 1, Early)",1,10/02/2016 21:53:56
55,"20-24","-","8.5","55","85","","","18",2,"Heel Slide (Hit 1)",1,10/02/2016 21:53:56
56,"25-34","-","8","76","80","","","18",2,"Heel Slide (Hit 1, Late)",1,10/02/2016 21:53:56
57,"35-45","78","8","80","60","","","40",2,"Heel Slide (Hit 1, Latest)",1,10/02/2016 21:53:56
58,"54-59","-","6","98/98/90","66","","","60",2,"Heel Slide (Hit 2)",1,10/02/2016 21:53:56
59,"7-9","32","6","60/48","65/60","","","50",2,"After Burner Kick (Early)",1,10/02/2016 21:53:56
60,"10-14","-","7","80","60/40","","","38",2,"After Burner Kick",1,10/02/2016 21:53:57
61,"15-19","-","6","100","W: 98/70","","","112",2,"After Burner Kick (Late)",1,10/02/2016 21:53:57
62,"8-24","44","6.5","60","85","","","38",2,"After Burner Kick (Down)",1,10/02/2016 21:53:57
63,"1","","5","49","80","","","50",2,"After Burner Kick (Down, Landing)",1,10/02/2016 21:53:57
64,"4","29","3","90/103","W: 140/150","","","100",2,"Witch Twist (Grounded)",1,10/02/2016 21:53:57
65,"-","","-","-","-","","","-",2,"Witch Twist (Grounded, Bullet Artes Extension)",1,10/02/2016 21:53:57
66,"4","29","2","90/103","W: 140/150","","","100",2,"Witch Twist (Aerial)",1,10/02/2016 21:53:57
67,"-","","-","-","-","","","-",2,"Witch Twist (Aerial, Bullet Artes Extension)",1,10/02/2016 21:53:57
68,"8-11 (Rehit rate: 3)","-","0.2","97","W: 140/80","","","100",2,"Witch Twist (Middle Hits)",1,10/02/2016 21:53:57
69,"12-16 (Rehit rate: 3)","-","0.2","100","W: 75/30","","","100",2,"Witch Twist (Middle Hits)",1,10/02/2016 21:53:57
70,"17-22 (Rehit rate: 3)","-","0.2","366","W: 70/135","","","100",2,"Witch Twist (Middle Hits)",1,10/02/2016 21:53:57
71,"24-25","-","3","34","55","","","80",2,"Witch Twist (Final Hit, 1st Use)",1,10/02/2016 21:53:57
72,"24-25","-","3","0","30","","","50",2,"Witch Twist (Final Hit, 2nd Use)",1,10/02/2016 21:53:57
73,"Counters: 5-21 (Intangible: 5-16)","50","-","-","-","","","-",2,"Witch Time",1,10/02/2016 21:53:57
74,"17-29","-","-","-","-","","","-",2,"Witch Time (Bat Within)",1,10/02/2016 21:53:57
75,"7-9 (Arm Intangible: 7-9)","21","5","30/50/85","W: 45/30/18","","","100",1,"Jab 1",2,10/02/2016 21:53:59
76,"9-11 (Arm Intangible: 9-11)","26","6.5","361","50","","","100",1,"Jab 2",2,10/02/2016 21:53:59
77,"11-14","56","12 (+1)","80","110","","","35",1,"Dash Attack",2,10/02/2016 21:53:59
